model,bin_lo,bin_hi,count,mean_pred,frac_pos,gap
Temporal GRU,0.0,0.1,493,0.0056,0.0101,0.0045
Temporal GRU,0.1,0.2,4,0.1546,0.25,0.0954
Temporal GRU,0.2,0.3,4,0.2599,0.25,0.0099
Temporal GRU,0.3,0.4,3,0.36,1.0,0.64
Temporal GRU,0.4,0.5,3,0.438,0.6667,0.2286
Temporal GRU,0.7,0.8,4,0.7626,0.75,0.0126
Temporal GRU,0.8,0.9,4,0.8707,0.75,0.1207
Temporal GRU,0.9,1.0,485,0.9967,0.9938,0.0029
Non-Temporal MLP,0.0,0.1,492,0.0048,0.0224,0.0176
Non-Temporal MLP,0.1,0.2,11,0.1506,0.2727,0.1221
Non-Temporal MLP,0.2,0.3,7,0.235,0.1429,0.0921
Non-Temporal MLP,0.3,0.4,3,0.3513,0.6667,0.3154
Non-Temporal MLP,0.4,0.5,1,0.4715,1.0,0.5285
Non-Temporal MLP,0.5,0.6,1,0.5099,1.0,0.4901
Non-Temporal MLP,0.7,0.8,3,0.7512,1.0,0.2488
Non-Temporal MLP,0.8,0.9,3,0.8356,1.0,0.1644
Non-Temporal MLP,0.9,1.0,479,0.9985,0.9916,0.0068
Mean+LogReg,0.0,0.1,435,0.0144,0.0207,0.0063
Mean+LogReg,0.1,0.2,31,0.1442,0.1613,0.0171
Mean+LogReg,0.2,0.3,22,0.2405,0.2273,0.0132
Mean+LogReg,0.3,0.4,18,0.3413,0.3333,0.0079
Mean+LogReg,0.4,0.5,14,0.4396,0.5,0.0604
Mean+LogReg,0.5,0.6,8,0.5455,0.625,0.0795
Mean+LogReg,0.6,0.7,11,0.6505,0.6364,0.0142
Mean+LogReg,0.7,0.8,7,0.736,0.7143,0.0217
Mean+LogReg,0.8,0.9,16,0.8622,0.9375,0.0753
Mean+LogReg,0.9,1.0,438,0.9917,0.9954,0.0037
