session_type,frame,risk,UC1_sim,UC2_instab,UC3_presence,UC4_drift
Genuine,0,0.4155,0.7871,0.172,0.9214,0.072
Genuine,1,0.3694,0.7987,0.1598,0.9182,0.0362
Genuine,2,0.3199,0.7843,0.0802,0.9018,0.0494
Genuine,3,0.2612,0.7461,0.0445,0.9411,0.0115
Genuine,4,0.2063,0.7321,0.0692,0.9311,0.0
Genuine,5,0.1588,0.6975,0.0,0.8423,0.0205
Genuine,6,0.1231,0.7124,0.0478,0.8224,0.0428
Genuine,7,0.0932,0.779,0.0,0.7585,0.0437
Genuine,8,0.0717,0.7584,0.041,0.6568,0.0116
Genuine,9,0.0544,0.7355,0.0217,0.6707,0.0126
Genuine,10,0.0407,0.7628,0.0651,0.7513,0.0069
Genuine,11,0.0312,0.7804,0.0782,0.7723,0.0298
Genuine,12,0.0249,0.7848,0.0278,0.7453,0.0834
Genuine,13,0.0211,0.7449,0.0877,0.7308,0.0859
Genuine,14,0.0179,0.7489,0.1457,0.7949,0.0671
Genuine,15,0.0149,0.7829,0.1394,0.8134,0.0429
Genuine,16,0.0124,0.7258,0.1264,0.8252,0.0458
Genuine,17,0.0104,0.7146,0.1195,0.8314,0.0457
Genuine,18,0.0086,0.6443,0.0837,0.8401,0.0251
Genuine,19,0.0074,0.6103,0.1296,0.8758,0.0343
Genuine,20,0.0063,0.5582,0.1082,0.8968,0.0154
Genuine,21,0.0055,0.5815,0.108,0.9023,0.047
Genuine,22,0.0051,0.5579,0.0806,0.8605,0.0728
Genuine,23,0.0047,0.6026,0.0634,0.8822,0.0953
Genuine,24,0.0042,0.6358,0.0248,0.8567,0.0815
Genuine,25,0.0039,0.6496,0.0854,0.9005,0.0906
Genuine,26,0.0037,0.5631,0.0849,0.8506,0.0847
Genuine,27,0.0036,0.5729,0.1258,0.8499,0.0743
Genuine,28,0.0035,0.6019,0.1254,0.8541,0.0665
Genuine,29,0.0033,0.6334,0.099,0.8092,0.0397
Genuine,30,0.003,0.5909,0.0901,0.8833,0.0138
Genuine,31,0.0027,0.5992,0.0739,0.9367,0.039
Genuine,32,0.0025,0.585,0.0811,0.9111,0.0396
Genuine,33,0.0023,0.5802,0.0731,0.9349,0.0487
Genuine,34,0.0022,0.6549,0.0691,0.9406,0.073
Genuine,35,0.002,0.6396,0.0259,0.8351,0.036
Genuine,36,0.0019,0.6593,0.0103,0.8511,0.0246
Genuine,37,0.0018,0.7147,0.0877,0.8532,0.0351
Genuine,38,0.0017,0.6999,0.0678,0.8603,0.0486
Genuine,39,0.0017,0.7072,0.0368,0.8235,0.0439
Genuine,40,0.0016,0.7228,0.0617,0.8221,0.0695
Genuine,41,0.0017,0.734,0.1223,0.8242,0.074
Genuine,42,0.0016,0.6893,0.0684,0.8764,0.0478
Genuine,43,0.0015,0.7061,0.0684,0.8892,0.0315
Genuine,44,0.0015,0.7745,0.0529,0.8876,0.0543
Genuine,45,0.0016,0.7101,0.0,0.5929,0.0664
Genuine,46,0.0016,0.7568,0.0434,0.563,0.0269
Genuine,47,0.0018,0.7653,0.054,0.5437,0.0618
Genuine,48,0.002,0.7405,0.0665,0.4746,0.0756
Genuine,49,0.0019,0.8307,0.0468,0.8908,0.1031
Genuine,50,0.0018,0.8552,0.0746,0.9247,0.09
Genuine,51,0.0016,0.7934,0.0615,0.9518,0.0808
Genuine,52,0.0015,0.7945,0.065,0.9657,0.0554
Genuine,53,0.0014,0.8167,0.0324,0.9569,0.1111
Genuine,54,0.0013,0.8032,0.0007,0.9533,0.1012
Genuine,55,0.0013,0.8285,0.0678,0.933,0.13
Genuine,56,0.0013,0.8184,0.057,0.9176,0.1074
Genuine,57,0.0013,0.8408,0.0772,0.9139,0.1052
Genuine,58,0.0012,0.8923,0.0823,0.9646,0.0647
Genuine,59,0.0012,0.847,0.0717,0.9724,0.0574
Genuine,60,0.0011,0.8455,0.0602,0.9564,0.08
Genuine,61,0.0011,0.8161,0.0924,0.9236,0.0522
Genuine,62,0.0011,0.8161,0.0854,0.8936,0.0774
Genuine,63,0.0011,0.7606,0.085,0.9507,0.0834
Genuine,64,0.0011,0.7391,0.0911,0.9588,0.0594
Genuine,65,0.0011,0.737,0.1388,0.9494,0.0504
Genuine,66,0.0011,0.7813,0.1611,0.9263,0.0437
Genuine,67,0.0012,0.8294,0.169,0.8784,0.0466
Genuine,68,0.0012,0.7662,0.1409,0.8762,0.0388
Genuine,69,0.0011,0.7348,0.0868,0.909,0.0261
Genuine,70,0.0011,0.7688,0.1268,0.8902,0.0262
Genuine,71,0.0012,0.6865,0.1614,0.8803,0.0112
Genuine,72,0.0012,0.681,0.15,0.8721,0.0
Genuine,73,0.0012,0.6918,0.1655,0.8773,0.0034
Genuine,74,0.0012,0.758,0.1875,0.819,0.032
Genuine,75,0.0013,0.7903,0.208,0.8194,0.0055
Genuine,76,0.0013,0.775,0.2288,0.797,0.0152
Genuine,77,0.0014,0.7602,0.1957,0.8421,0.0097
Genuine,78,0.0014,0.7526,0.2402,0.8194,0.0
Genuine,79,0.0014,0.821,0.1762,0.8497,0.0269
Genuine,80,0.0014,0.7968,0.1995,0.9105,0.0225
Genuine,81,0.0014,0.7815,0.2058,0.8943,0.0612
Genuine,82,0.0015,0.7961,0.2252,0.87,0.0461
Genuine,83,0.0016,0.7886,0.2787,0.8786,0.0578
Genuine,84,0.0017,0.779,0.3096,0.8787,0.0548
Genuine,85,0.0018,0.7322,0.2389,0.8423,0.0412
Genuine,86,0.0018,0.7389,0.1588,0.8649,0.0579
Genuine,87,0.0017,0.7264,0.1831,0.9415,0.0565
Genuine,88,0.0017,0.7835,0.1362,0.9228,0.0712
Genuine,89,0.0016,0.8105,0.1333,0.9089,0.07
Genuine,90,0.0016,0.8049,0.1623,0.866,0.0471
Genuine,91,0.0015,0.8294,0.0953,0.8799,0.0484
Genuine,92,0.0014,0.8076,0.0212,0.8339,0.0528
Genuine,93,0.0013,0.8478,0.0456,0.8,0.0755
Genuine,94,0.0013,0.8374,0.0584,0.8592,0.0556
Genuine,95,0.0012,0.8534,0.0586,0.8289,0.0569
Genuine,96,0.0012,0.788,0.0692,0.8765,0.0226
Genuine,97,0.0011,0.8014,0.0451,0.9332,0.0435
Genuine,98,0.001,0.727,0.0005,0.9348,0.0246
Genuine,99,0.0009,0.6492,0.0123,0.947,0.0
Genuine,100,0.0009,0.656,0.0,1.0,0.0036
Genuine,101,0.0008,0.6367,0.0,0.9823,0.0369
Genuine,102,0.0008,0.6651,0.0,0.9451,0.0097
Genuine,103,0.0008,0.7769,0.0116,0.8854,0.0
Genuine,104,0.0008,0.7423,0.0428,0.8862,0.0
Genuine,105,0.0007,0.7217,0.0179,0.9398,0.0
Genuine,106,0.0007,0.7391,0.009,0.9662,0.0009
Genuine,107,0.0007,0.766,0.0,0.9185,0.0
Genuine,108,0.0007,0.7607,0.0,0.8812,0.0
Genuine,109,0.0007,0.7549,0.0046,0.8624,0.0146
Genuine,110,0.0007,0.7883,0.0,0.8758,0.007
Genuine,111,0.0007,0.8089,0.0252,0.8689,0.0256
Genuine,112,0.0007,0.761,0.052,0.8785,0.0118
Genuine,113,0.0007,0.7605,0.1368,0.8896,0.0
Genuine,114,0.0008,0.7649,0.083,0.8772,0.0
Genuine,115,0.0008,0.7228,0.1213,0.8761,0.0221
Genuine,116,0.0008,0.7423,0.1178,0.8843,0.0226
Genuine,117,0.0009,0.7118,0.1176,0.8806,0.0348
Genuine,118,0.0009,0.763,0.0645,0.8991,0.0394
Genuine,119,0.0009,0.7737,0.0558,0.9652,0.0474
Abrupt Impersonation,0,0.4206,0.7701,0.1138,0.8537,0.1122
Abrupt Impersonation,1,0.3907,0.7308,0.0859,0.817,0.1192
Abrupt Impersonation,2,0.3573,0.6756,0.0182,0.7726,0.0996
Abrupt Impersonation,3,0.3188,0.6516,0.0214,0.7645,0.0705
Abrupt Impersonation,4,0.2804,0.6176,0.0631,0.7822,0.0535
Abrupt Impersonation,5,0.2499,0.6764,0.0822,0.7095,0.0865
Abrupt Impersonation,6,0.2171,0.7295,0.0673,0.7465,0.0887
Abrupt Impersonation,7,0.1931,0.6996,0.0733,0.6999,0.1103
Abrupt Impersonation,8,0.1719,0.6561,0.1027,0.7364,0.0942
Abrupt Impersonation,9,0.1485,0.6627,0.0165,0.7504,0.1103
Abrupt Impersonation,10,0.1243,0.7419,0.0266,0.7536,0.0916
Abrupt Impersonation,11,0.1057,0.6318,0.0563,0.7665,0.085
Abrupt Impersonation,12,0.0939,0.6792,0.0859,0.7577,0.1352
Abrupt Impersonation,13,0.0881,0.652,0.1433,0.7473,0.1416
Abrupt Impersonation,14,0.0842,0.7181,0.1742,0.6933,0.1203
Abrupt Impersonation,15,0.0803,0.6849,0.1744,0.717,0.1109
Abrupt Impersonation,16,0.0744,0.6902,0.1743,0.8163,0.1117
Abrupt Impersonation,17,0.0696,0.6432,0.1895,0.9063,0.1309
Abrupt Impersonation,18,0.0626,0.6255,0.1606,0.955,0.1115
Abrupt Impersonation,19,0.0525,0.7101,0.1517,0.9705,0.0686
Abrupt Impersonation,20,0.044,0.7581,0.1741,0.9254,0.0629
Abrupt Impersonation,21,0.037,0.7475,0.2263,0.9764,0.0643
Abrupt Impersonation,22,0.0313,0.7187,0.2039,0.9566,0.0674
Abrupt Impersonation,23,0.0275,0.6511,0.1883,0.9392,0.0956
Abrupt Impersonation,24,0.0244,0.6568,0.1828,0.9151,0.0984
Abrupt Impersonation,25,0.0224,0.677,0.2143,0.9107,0.1113
Abrupt Impersonation,26,0.0201,0.6919,0.1977,0.8847,0.0819
Abrupt Impersonation,27,0.0187,0.7042,0.231,0.8775,0.0984
